method,scenario,seed,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,EUIt,EG,H,reward
DDPG,Balanced_Performance,0,1.6403045654296875,27.31487274169922,7.035901546478272,0.739386260509491,0.6653698086738586,0.7034262418746948,0.1936239898204803,0.5527758598327637,0.7627878785133362,0.155166670680046,44.98649978637695,8.0,67.57250213623047,2.7231595516204834,7.679635524749756,0.8867148329950731
DDPG,Balanced_Performance,1,1.898630142211914,30.98722267150879,10.054832458496094,0.3940081000328064,2.56332802772522,0.6643574237823486,0.1826052963733673,0.4978689551353454,0.6335557103157043,0.1210028901696205,-25.09613609313965,6.385544776916504,67.05792999267578,2.642030477523804,7.743717193603516,0.8745274139403247
DDPG,Balanced_Performance,2,1.5199334621429443,69.375,5.520807266235352,0.4672718942165375,1.2523231506347656,0.6178139448165894,0.2238599359989166,0.4310879707336426,0.7355432510375977,0.1233333945274353,-3.502544403076172,1.0990852117538452,67.96333312988281,2.7249276638031006,7.64858865737915,0.8700267934267372
DDPG,Balanced_Performance,3,1.4490646123886108,48.99993896484375,9.360486030578612,0.7066676616668701,1.1458628177642822,0.6952197551727295,0.2074136734008789,0.4484904110431671,0.7947600483894348,0.1004827618598938,44.98649978637695,7.439356803894043,68.1377944946289,2.712786197662353,7.6853485107421875,0.8656530140256409
DDPG,Balanced_Performance,4,1.538625717163086,53.6699104309082,10.38332176208496,0.7515622973442078,1.8488457202911377,0.6629431247711182,0.178761214017868,0.4137341678142547,0.8183526992797852,0.1368939280509948,20.260303497314453,6.456635475158691,67.50567626953125,2.7113523483276367,7.6176676750183105,0.8746667081684489
DDPG,Balanced_Performance,5,1.814774513244629,33.111175537109375,11.36875343322754,0.870836615562439,0.6653698086738586,0.7319082021713257,0.2185366749763488,0.3420711755752563,0.7007375359535217,0.1244417205452919,30.147296905517575,7.694661617279053,67.16808319091797,2.751469135284424,7.696928024291992,0.9103204363447832
DDPG,Balanced_Performance,6,1.6036497354507446,69.375,8.893802642822266,0.6005058884620667,0.6653698086738586,0.7246101498603821,0.2213981002569198,0.4864428639411926,0.7177454233169556,0.1272142976522445,37.84360122680664,7.054094314575195,68.13973236083984,2.7308316230773926,7.77406120300293,0.8788687120025116
DDPG,Balanced_Performance,7,1.4833484888076782,28.002700805664062,3.967002868652344,0.4486263692378998,0.6992771029472351,0.6607378721237183,0.2212819755077362,0.559357762336731,0.6778043508529663,0.1210564970970153,38.850093841552734,4.446796894073486,68.0467300415039,2.6935038566589355,7.701174736022949,0.864673037706434
DDPG,Balanced_Performance,8,1.7587332725524902,50.262996673583984,6.499281406402588,0.7606494426727295,0.6653698086738586,0.7436255812644958,0.2060774564743042,0.539115309715271,0.7997407913208008,0.1094356179237365,44.98649978637695,7.659460544586182,67.94053649902344,2.7115750312805176,7.719398021697998,0.8759845962315349
DDPG,Balanced_Performance,9,1.6351537704467771,69.375,7.202342510223389,0.2955598831176758,0.9957873821258544,0.6806513071060181,0.2317917346954345,0.4685928225517273,0.6529712677001953,0.1131658777594566,-10.080493927001951,0.8941054940223694,67.90286254882812,2.6413612365722656,7.768172264099121,0.8554435368768629
DDPG,Balanced_Performance,10,1.9442498683929443,57.847923278808594,10.559331893920898,0.688616931438446,0.6653698086738586,0.7436255812644958,0.199030265212059,0.5028562545776367,0.5961769819259644,0.1167888790369033,44.98649978637695,8.0,67.43635559082031,2.659942388534546,7.659544944763184,0.8648206168052692
DDPG,Balanced_Performance,11,1.338336706161499,19.309783935546875,5.68464994430542,0.7179744243621826,0.8814464807510376,0.7194348573684692,0.2090391218662262,0.5196533203125,0.9432629346847534,0.1511987745761871,-44.91535568237305,5.7366204261779785,68.25617980957031,2.69052791595459,7.667447090148926,0.8528099158494584
